Id number,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type of glass
78,3,4,11,5,7,1,3,0,3,2
79,3,6,10,4,7,0,3,0,0,2
80,2,4,10,7,7,1,3,0,0,2
81,2,4,10,7,7,1,3,0,0,2
82,2,5,10,4,8,1,3,0,0,2
83,3,5,11,4,7,1,3,0,4,2
84,2,4,10,5,7,1,3,0,3,2
85,1,7,9,7,6,2,2,0,0,2
86,3,5,11,5,7,1,3,0,0,2
87,2,5,10,5,8,0,3,0,6,2
88,3,5,10,5,7,1,3,0,0,2
89,3,4,10,5,7,1,3,0,0,2
90,3,3,10,6,8,1,3,0,0,2
91,4,4,11,3,6,1,4,0,0,2
92,3,4,10,5,8,0,3,0,4,2
93,2,5,10,5,8,0,3,0,2,2
94,2,5,10,5,8,0,3,0,7,2
95,3,4,10,5,8,1,3,0,6,2
96,4,5,10,4,6,1,4,0,0,2
97,4,4,11,3,6,1,4,0,0,2
98,3,3,10,3,9,1,4,0,0,2
99,3,4,8,6,8,1,4,0,0,2
100,4,4,9,4,7,1,4,0,0,2
101,3,4,8,5,8,1,4,0,0,2
102,3,3,8,5,7,1,4,0,0,2
103,4,3,8,2,9,0,5,0,3,2
104,9,6,9,1,1,0,8,0,1,2
105,7,6,9,3,3,0,6,0,0,2
106,8,1,0,6,5,1,10,0,0,2
107,12,0,0,7,0,1,10,13,0,2
108,13,3,0,3,0,0,13,0,0,2
109,6,7,0,3,7,0,7,0,0,2
110,4,6,0,1,11,0,7,0,0,2
111,9,1,0,2,8,0,12,0,0,2
112,9,0,0,2,8,0,12,0,0,2
113,10,4,0,1,5,0,11,0,0,2
114,4,5,11,4,6,1,3,0,6,2
115,4,4,12,3,6,1,3,0,0,2
116,4,5,12,4,6,1,3,0,0,2
117,4,5,12,4,6,1,3,0,0,2
118,3,6,11,6,5,1,3,0,0,2
119,3,5,11,5,6,1,3,0,0,2
120,3,5,11,5,6,1,3,0,6,2
121,4,5,11,4,6,1,3,0,3,2
122,3,4,11,5,7,1,3,0,3,2
123,3,5,11,5,7,1,3,0,0,2
124,3,5,10,6,6,1,3,0,0,2
125,6,5,11,3,7,1,4,0,0,2
126,4,4,11,5,6,1,4,0,2,2
127,3,4,11,4,7,1,4,0,10,2
128,5,6,7,4,5,1,5,0,3,2
129,5,5,6,6,5,1,5,1,0,2
130,5,6,4,5,4,0,6,0,1,2
131,6,6,3,4,5,0,7,0,8,2
132,9,6,0,4,3,0,10,0,0,2
133,4,5,12,3,6,1,3,0,0,2
134,4,6,12,5,4,1,3,0,0,2
135,4,5,12,4,7,1,3,0,0,2
136,4,5,12,4,6,1,3,0,0,2
137,4,4,11,3,8,1,3,0,0,2
138,3,4,11,5,7,1,3,0,0,2
139,3,4,10,5,8,1,3,0,0,2
140,3,4,11,5,8,1,3,0,0,2
141,3,5,11,5,6,1,3,0,2,2
142,4,5,11,3,7,1,3,0,0,2
143,3,4,10,5,7,1,3,0,0,2
144,3,4,10,6,7,1,3,0,0,2
145,3,4,9,4,7,1,4,0,0,2
146,4,4,11,4,6,1,4,0,0,2
147,4,6,11,3,7,0,4,0,9,3
148,3,5,11,4,7,1,3,0,0,3
149,3,5,11,4,7,1,3,0,4,3
150,3,3,10,4,7,1,4,0,2,3
151,3,5,10,6,6,1,3,0,0,3
152,6,7,12,2,4,0,5,0,0,3
153,4,6,11,1,7,0,4,0,0,3
154,3,5,10,4,7,1,3,0,0,3
155,3,4,11,4,6,1,4,0,0,3
156,3,4,10,4,7,1,4,0,0,3
157,3,5,10,4,7,1,4,0,0,3
158,6,6,11,1,4,0,5,0,0,3
159,4,5,10,5,5,1,4,0,2,3
160,4,5,10,5,5,1,4,0,0,3
161,4,5,10,5,5,1,4,0,1,3
162,5,6,11,2,7,0,4,0,2,3
163,6,7,11,2,3,0,4,0,0,3
164,2,6,8,13,0,3,0,9,4,5
165,4,4,5,6,7,1,6,0,3,5
166,6,1,5,5,7,1,7,0,0,5
167,6,0,5,5,9,1,8,0,2,5
168,5,4,0,5,9,0,7,0,0,5
169,3,4,0,6,10,2,6,0,0,5
170,5,5,0,6,8,1,7,0,0,5
171,7,5,0,5,6,0,8,0,0,5
172,1,4,0,11,1,13,1,0,0,5
173,1,4,0,11,2,13,1,0,0,5
174,5,5,0,4,6,0,9,0,0,5
175,5,4,5,8,5,1,5,1,0,5
176,6,4,1,5,8,0,7,0,2,5
177,4,6,7,5,6,0,5,0,6,6
178,5,6,7,3,7,0,5,0,4,6
179,4,7,6,5,6,0,4,0,13,6
180,4,7,6,5,7,0,5,0,0,6
181,1,7,5,5,11,0,2,0,0,6
182,4,8,2,6,6,0,5,0,0,6
183,4,7,0,7,7,0,7,0,0,6
184,5,8,0,1,9,0,7,0,0,6
185,0,13,0,0,13,0,1,0,0,6
186,0,6,9,6,7,3,0,5,0,7
187,4,7,10,8,3,3,0,7,0,7
188,7,5,10,4,6,1,4,0,0,7
189,6,8,6,7,1,1,5,0,0,7
190,7,10,5,4,1,0,4,7,4,7
191,3,6,5,6,8,0,4,3,0,7
192,2,8,0,9,8,0,4,2,0,7
193,3,7,0,10,9,0,4,1,0,7
194,3,8,0,7,8,0,4,7,0,7
195,3,8,0,7,8,0,4,6,0,7
196,2,7,0,10,8,0,4,2,0,7
197,2,6,0,9,8,0,5,3,0,7
198,3,8,0,8,8,0,4,2,0,7
199,2,7,0,10,8,0,4,2,0,7
200,3,9,0,9,8,0,4,2,0,7
201,2,9,0,8,9,0,3,2,2,7
202,3,2,0,3,13,6,4,0,2,7
203,2,8,0,9,9,0,3,2,0,7
204,3,8,0,7,8,0,3,7,0,7
205,3,8,0,8,8,0,4,2,5,7
206,3,8,0,6,7,0,4,6,0,7
207,3,8,0,6,8,0,4,6,5,7
208,4,7,0,6,7,3,1,12,0,7
209,3,7,0,10,7,0,5,2,8,7
210,3,7,0,11,6,0,4,4,7,7
211,3,8,0,7,8,0,3,7,0,7
212,5,7,0,7,9,0,3,7,5,7
213,3,7,0,7,9,0,3,6,0,7
214,3,7,0,7,8,0,4,7,5,7
